Model_clean,Prompt_variant,Mean_racial_diversity,Mean_racial_diversity,Mean_racial_diversity,Mean_gender_representation,Mean_gender_representation,Mean_gender_representation,Mean_cultural_context_fit,Mean_cultural_context_fit,Mean_cultural_context_fit,Mean_body_representation,Mean_body_representation,Mean_body_representation,Mean_visual_quality,Mean_visual_quality,Mean_visual_quality
,,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
DALL-E,Inclusive,4.3125,5.938.674.695.827.100,8,4.375,23.145.502.494.313.700,8,3.625,12.747.548.783.981.900,8,4.125,6.943.650.748.294.130,8,3.3125,7.039.429.765.866.790,8
DALL-E,Neutral,3.5,14.142.135.623.730.900,8,3.75,11.338.934.190.276.800,8,2.0,8.017.837.257.372.730,8,1.375,3.535.533.905.932.730,8,3.0625,7.288.689.868.556.620,8
Midjourney,Inclusive,2.8125,13.076.014.027.873.400,8,3.6875,7.529.703.086.538.570,8,2.125,6.943.650.748.294.130,8,1.75,9.258.200.997.725.510,8,3.4375,7.288.689.868.556.620,8
Midjourney,Neutral,1.5625,1.208.230.701.716.940,8,3.5,11.338.934.190.276.800,8,1.9375,32.043.497.223.082.700,8,1.5625,1.767.766.952.966.360,8,4.1875,5.938.674.695.827.100,8
NanoBanana Pro,Inclusive,3.9375,8.210.402.808.980.460,8,4.375,3.535.533.905.932.730,8,3.75,8.451.542.547.285.160,8,3.5,9.258.200.997.725.510,8,4.25,5.976.143.046.671.960,8
NanoBanana Pro,Neutral,3.6875,12.799.972.098.183.800,8,4.25,7.559.289.460.184.540,8,2.5,10.690.449.676.496.900,8,2.0625,6.781.013.409.302.680,8,4.1875,5.938.674.695.827.100,8
Whisk,Inclusive,3.0,11.019.463.300.386.700,8,3.375,1.529.472.364.668.840,8,3.0,1.0,8,2.9375,11.475.906.437.899.700,8,4.3125,3.720.119.045.714.220,8
Whisk,Neutral,1.6875,1.032.939.633.141.390,8,4.25,7.071.067.811.865.470,8,2.5625,8.634.441.002.668.980,8,2.0625,5.629.958.132.298.010,8,3.5625,6.232.117.273.791.120,8
